protocol,model,auc,ci_low,ci_high
random,Expert scorecard (unfitted),0.4144,0.4111,0.4175
random,Logistic regression (clean),0.6745,0.6722,0.6774
random,Gradient boosting (clean),0.7898,0.7877,0.7926
random,Logistic regression (contaminated),0.8452,0.8433,0.8472
random,Gradient boosting (contaminated),0.9726,0.9718,0.9732
temporal,Expert scorecard (unfitted),0.5275,0.5252,0.5296
temporal,Logistic regression (clean),0.4565,0.4545,0.4586
temporal,Gradient boosting (clean),0.6076,0.6053,0.6097
temporal,Logistic regression (contaminated),0.7854,0.7839,0.7869
temporal,Gradient boosting (contaminated),0.9461,0.9453,0.9469
