objective,dimension,criterion,mean_abs_shift,band_changes
development_impact,dev_impact,employment_generation,3.056,0.1925
development_impact,dev_impact,productive_capacity,3.051,0.173
development_impact,dev_impact,local_raw_material,2.99,0.1725
development_impact,dev_impact,value_added,2.932,0.17
development_impact,dev_impact,export_share,2.927,0.1655
development_impact,dev_impact,women_participation,2.877,0.1705
development_impact,dev_impact,import_substitution,2.798,0.1685
development_impact,dev_impact,fx_earnings,2.796,0.158
credit_risk,credit_conduct,account_turnover,0.71,0.051
credit_risk,credit_conduct,arrears_ratio,0.701,0.053
credit_risk,credit_conduct,cheque_returns,0.693,0.057
credit_risk,credit_conduct,repayment_performance,0.661,0.051
credit_risk,credit_conduct,external_exposure,0.659,0.045
credit_risk,risk_security,security_cover,0.642,0.0535
credit_risk,borrower_management,business_vintage,0.616,0.0545
credit_risk,borrower_management,sponsor_quals,0.59,0.0435
credit_risk,risk_security,insurance_cover,0.59,0.044
credit_risk,borrower_management,hr_adequacy,0.589,0.047
credit_risk,borrower_management,sponsor_experience,0.587,0.0405
credit_risk,risk_security,technological_risk,0.58,0.051
credit_risk,risk_security,govt_consent,0.574,0.0465
credit_risk,risk_security,environmental_risk,0.572,0.042
credit_risk,borrower_management,org_structure,0.566,0.0405
credit_risk,borrower_management,statutory_compliance,0.563,0.0425
credit_risk,risk_security,implementation,0.558,0.047
credit_risk,project_viability,project_gearing,0.523,0.038
credit_risk,market_position,supplier_power,0.521,0.0425
credit_risk,market_position,substitutes,0.519,0.0395
credit_risk,market_position,rivalry,0.517,0.047
credit_risk,market_position,raw_material,0.51,0.0415
credit_risk,market_position,buyer_power,0.508,0.037
credit_risk,project_viability,dscr,0.507,0.036
credit_risk,market_position,distribution,0.507,0.037
credit_risk,market_position,threat_entry,0.506,0.036
credit_risk,project_viability,capacity_growth,0.5,0.0505
credit_risk,project_viability,projected_np,0.499,0.039
credit_risk,project_viability,promoter_equity,0.494,0.038
credit_risk,project_viability,roi,0.486,0.0395
credit_risk,project_viability,bep_headroom,0.486,0.0395
credit_risk,historic_financials,current_ratio,0.474,0.0415
credit_risk,historic_financials,debtor_retention,0.469,0.04
credit_risk,project_viability,iscr,0.469,0.038
credit_risk,historic_financials,stock_retention,0.467,0.0365
credit_risk,historic_financials,gross_profit_ratio,0.463,0.038
credit_risk,historic_financials,net_profit_ratio,0.458,0.0385
credit_risk,historic_financials,gearing_ratio,0.446,0.0385
credit_risk,historic_financials,asset_turnover,0.44,0.0285
credit_risk,historic_financials,debt_equity_hist,0.432,0.0335
credit_risk,historic_financials,sales_trend,0.419,0.0325
