model,attribute,group,n,default_rate,decline_rate,auc,brier,mean_predicted,calibration_gap,fpr_good_declined,fnr_bad_approved
"Gradient boosting (clean, temporal)",Rurality,Not recorded,2590,0.3475,0.7197,0.6779,0.20807,0.3132,-0.0343,0.6414,0.1333
"Gradient boosting (clean, temporal)",Rurality,Rural,49457,0.2779,0.1374,0.5723,0.21513,0.1511,-0.1268,0.1231,0.8254
"Gradient boosting (clean, temporal)",Rurality,Urban,223440,0.377,0.2078,0.6111,0.26961,0.1695,-0.2075,0.1603,0.7137
"Gradient boosting (clean, temporal)",Firm size (employees),Large (100+),752,0.1676,0.0731,0.6009,0.14326,0.096,-0.0716,0.0639,0.881
"Gradient boosting (clean, temporal)",Firm size (employees),Medium (20-99),16105,0.2493,0.0964,0.613,0.19601,0.1294,-0.1199,0.0782,0.8486
"Gradient boosting (clean, temporal)",Firm size (employees),Micro (1-4),174587,0.3753,0.2264,0.6051,0.26727,0.1751,-0.2002,0.1796,0.6958
"Gradient boosting (clean, temporal)",Firm size (employees),Not reported (0),3597,0.3353,0.0703,0.5661,0.26311,0.131,-0.2043,0.064,0.9171
"Gradient boosting (clean, temporal)",Firm size (employees),Small (5-19),80446,0.3483,0.1705,0.5997,0.25542,0.1612,-0.1871,0.1349,0.7629
"Gradient boosting (clean, temporal)",Firm age,Existing,196084,0.3661,0.2016,0.6086,0.26253,0.1714,-0.1947,0.159,0.7246
"Gradient boosting (clean, temporal)",Firm age,New business,79289,0.3414,0.1962,0.6051,0.25128,0.1582,-0.1832,0.1538,0.722
"Gradient boosting (clean, temporal)",Firm age,Not recorded,114,0.1842,0.0439,,0.16026,0.0949,-0.0893,0.0538,1.0
"Gradient boosting (clean, temporal)",Sector,Accommodation/Food,25038,0.365,0.232,0.5817,0.26055,0.1838,-0.1813,0.1908,0.6963
"Gradient boosting (clean, temporal)",Sector,Admin/Waste,17131,0.3456,0.1861,0.6063,0.25503,0.1576,-0.188,0.1498,0.7451
"Gradient boosting (clean, temporal)",Sector,Agriculture/Forestry/Fishing,1412,0.1919,0.0907,0.5468,0.16249,0.1182,-0.0738,0.0815,0.8708
"Gradient boosting (clean, temporal)",Sector,Arts/Entertainment,5417,0.3651,0.2442,0.5807,0.26016,0.1846,-0.1806,0.2076,0.6921
"Gradient boosting (clean, temporal)",Sector,Construction,31510,0.3853,0.1763,0.592,0.27897,0.1663,-0.219,0.1409,0.7671
"Gradient boosting (clean, temporal)",Sector,Education,3341,0.3439,0.1871,0.5874,0.25475,0.16,-0.1839,0.1565,0.7546
"Gradient boosting (clean, temporal)",Sector,Finance/Insurance,5136,0.4416,0.182,0.5902,0.32118,0.1599,-0.2817,0.143,0.7685
"Gradient boosting (clean, temporal)",Sector,Health Care,15766,0.2276,0.0771,0.5932,0.18639,0.1043,-0.1234,0.0567,0.854
"Gradient boosting (clean, temporal)",Sector,Information,5612,0.3849,0.2678,0.5957,0.26943,0.1879,-0.197,0.2193,0.6546
"Gradient boosting (clean, temporal)",Sector,Management,49,0.4694,0.1429,,0.37476,0.1274,-0.342,0.1538,0.8696
"Gradient boosting (clean, temporal)",Sector,Manufacturing,21392,0.3025,0.1582,0.6115,0.22494,0.1586,-0.1439,0.1251,0.7653
