approval_fy,n,round_share,default_round,default_irregular,auc
2000,37496,0.710529,0.019255,0.46241,0.8624
2001,37201,0.716862,0.020061,0.463875,0.8618
2002,44981,0.73082,0.015088,0.455401,0.8741
2003,58863,0.726738,0.017252,0.515014,0.8808
2004,70898,0.702192,0.021593,0.569054,0.8802
2005,83887,0.638609,0.031976,0.622477,0.868
2006,85858,0.575916,0.046939,0.696767,0.8632
2007,87531,0.534428,0.058937,0.725977,0.8562
2008,60839,0.581633,0.044113,0.669391,0.8584
2009,36111,0.707291,0.017227,0.465184,0.867
2010,39256,0.786504,0.011012,0.395776,0.8824
2011,44574,0.805627,0.008076,0.326524,0.8831
2012,37728,0.812261,0.006526,0.313144,0.8898
2013,38742,0.814387,0.006276,0.307607,0.8904
2014,43871,0.819334,0.00779,0.334469,0.8878
2015,52145,0.817336,0.008447,0.35853,0.8892
2016,51423,0.809521,0.009585,0.373252,0.886
2017,47097,0.78264,0.011774,0.378724,0.8753
2018,42216,0.789203,0.014647,0.423868,0.8752
2019,31600,0.799557,0.018285,0.408904,0.8587
