Term,repaid,charged_off
0,0.8643277779365941,0.09014559180372068
1,0.010039735856607872,0.087786465354543
2,0.008600383065092478,0.087213534645457
3,0.02130299305337183,0.08581827985980049
4,0.00889054057917155,0.0855486654084659
5,0.006586432634858924,0.0838433540037746
6,0.03389983133701152,0.08343219196548934
7,0.006008976301420771,0.08184146670261526
8,0.00649066636173923,0.08014289565920733
9,0.009319344787170178,0.07827581558371528
10,0.009666676195649067,0.07744001078457806
11,0.014866641891312427,0.07851172822863306
