year,n,default_round,default_irregular,auc
1990,14859,0.006,0.1924,0.8589
1991,15660,0.0032,0.1394,0.8722
1992,20875,0.0022,0.1219,0.8842
1993,23299,0.0021,0.1121,0.8847
1994,31584,0.0021,0.1462,0.8993
1995,45688,0.0033,0.1772,0.8895
1996,40021,0.0052,0.2239,0.8807
1997,37718,0.0064,0.2975,0.8877
1998,36005,0.0093,0.3811,0.8885
1999,37348,0.0121,0.4064,0.8799
2000,37352,0.0138,0.4202,0.8736
2001,37317,0.0155,0.4419,0.8737
2002,44307,0.012,0.4525,0.887
2003,58000,0.0155,0.541,0.8934
2004,68195,0.02,0.6191,0.8972
2005,76958,0.031,0.6995,0.8922
2006,75756,0.0486,0.808,0.8995
2007,71649,0.0673,0.8549,0.8993
2008,39458,0.0639,0.8435,0.8977
2009,19103,0.0264,0.5911,0.874
2010,16828,0.0176,0.4702,0.8716
