model,field_withheld,mean_p_stated,mean_p_withheld,shift,share_scored_less_risky,share_scored_more_risky,decline_to_approve,approve_to_decline
Gradient boosting (native NaN),sba_guarantee_share,0.16837,0.16346,-0.00491,0.4405,0.3026,0.02345,0.00627
Gradient boosting (native NaN),disbursement_ratio,0.16837,0.16702,-0.00135,0.299,0.3687,0.01249,0.00139
Gradient boosting (native NaN),is_new_business,0.16837,0.0983,-0.07007,0.92,0.08,0.16483,0.00556
Gradient boosting (native NaN),is_urban,0.16837,0.06444,-0.10393,0.9774,0.0226,0.1984,0.00029
Gradient boosting (native NaN),has_franchise,0.16837,0.16841,4e-05,0.007,0.0119,0.00063,0.00027
Gradient boosting (native NaN),rev_line_of_credit,0.16837,0.1708,0.00243,0.362,0.638,0.17418,0.15506
Gradient boosting (native NaN),low_doc_program,0.16837,0.16643,-0.00194,0.5931,0.4069,0.00754,0.00626
Gradient boosting (native NaN),NoEmp,0.16837,0.16873,0.00036,0.4979,0.4188,0.00262,0.00742
Gradient boosting (native NaN),CreateJob,0.16837,0.1614,-0.00697,0.3103,0.0452,0.01185,0.00122
Gradient boosting (native NaN),RetainedJob,0.16837,0.14693,-0.02144,0.4677,0.1991,0.09497,0.00349
Gradient boosting (native NaN),GrAppv,0.16837,0.15831,-0.01006,0.6597,0.3138,0.04549,0.0388
Gradient boosting (native NaN),loan_per_employee,0.16837,0.1497,-0.01867,0.7437,0.2563,0.05719,0.00627
Gradient boosting (native NaN),jobs_per_100k,0.16837,0.15318,-0.01519,0.72,0.1346,0.05988,0.00048
Gradient boosting (native NaN),naics_sector_code,0.16837,0.15114,-0.01723,0.7425,0.2575,0.04021,0.01257
Logistic regression (median imputation),sba_guarantee_share,0.13023,0.07159,-0.05865,0.9055,0.0944,0.19608,0.00059
Logistic regression (median imputation),disbursement_ratio,0.13023,0.13301,0.00278,0.03,0.5129,0.00028,0.01164
Logistic regression (median imputation),is_new_business,0.13023,0.12361,-0.00662,0.2675,0.0,0.05232,0.0
Logistic regression (median imputation),is_urban,0.13023,0.1194,-0.01084,0.1694,0.0,0.12131,0.0
Logistic regression (median imputation),has_franchise,0.13023,0.12961,-0.00062,0.0189,0.0,0.00601,0.0
Logistic regression (median imputation),rev_line_of_credit,0.13023,0.14556,0.01533,0.0,0.6296,0.0,0.09858
Logistic regression (median imputation),low_doc_program,0.13023,0.13021,-2e-05,0.0017,0.0,1e-05,0.0
Logistic regression (median imputation),NoEmp,0.13023,0.13062,0.00039,0.6444,0.2842,0.00241,0.00739
Logistic regression (median imputation),CreateJob,0.13023,0.13026,3e-05,0.0,0.3523,0.0,0.00018
Logistic regression (median imputation),RetainedJob,0.13023,0.12875,-0.00148,0.8757,0.0,0.00872,0.0
Logistic regression (median imputation),GrAppv,0.13023,0.13163,0.0014,0.1822,0.8176,0.00406,0.01992
Logistic regression (median imputation),loan_per_employee,0.13023,0.13004,-0.00019,0.33,0.6699,0.00347,0.00288
Logistic regression (median imputation),jobs_per_100k,0.13023,0.12819,-0.00204,0.892,0.0,0.01133,0.0
Logistic regression (median imputation),naics_sector_code,0.13023,0.12774,-0.00249,0.5495,0.3957,0.01126,0.01115
