model,fields_withheld,completeness,mean_p_default,mean_p_low,mean_p_high,decline_to_approve
Gradient boosting (native NaN),1,0.9286,0.15619,0.0983,0.1708,0.05375
Gradient boosting (native NaN),2,0.8571,0.13856,0.06391,0.17268,0.10723
Gradient boosting (native NaN),3,0.7857,0.11679,0.04665,0.17057,0.14623
Gradient boosting (native NaN),4,0.7143,0.09561,0.04582,0.14156,0.18566
Gradient boosting (native NaN),5,0.6429,0.09825,0.03286,0.17203,0.18241
Gradient boosting (native NaN),6,0.5714,0.09842,0.04301,0.15749,0.18302
Gradient boosting (native NaN),7,0.5,0.08271,0.03785,0.15409,0.19264
Gradient boosting (native NaN),8,0.4286,0.07535,0.03623,0.11453,0.19714
Gradient boosting (native NaN),9,0.3571,0.07455,0.03351,0.13069,0.1936
Gradient boosting (native NaN),10,0.2857,0.07408,0.03539,0.12753,0.19573
Gradient boosting (native NaN),11,0.2143,0.06964,0.04265,0.09924,0.19709
Gradient boosting (native NaN),12,0.1429,0.06537,0.04026,0.0942,0.19908
Gradient boosting (native NaN),13,0.0714,0.06007,0.04466,0.07933,0.20001
Gradient boosting (native NaN),14,0.0,0.06145,0.06145,0.06145,0.20001
Logistic regression (median imputation),1,0.9286,0.13108,0.12361,0.14556,0.00687
Logistic regression (median imputation),2,0.8571,0.12768,0.07157,0.14537,0.03609
Logistic regression (median imputation),3,0.7857,0.124,0.06514,0.14711,0.06138
Logistic regression (median imputation),4,0.7143,0.10992,0.06078,0.14739,0.10748
Logistic regression (median imputation),5,0.6429,0.11058,0.06231,0.14766,0.10847
Logistic regression (median imputation),6,0.5714,0.10475,0.06036,0.14832,0.13196
Logistic regression (median imputation),7,0.5,0.0934,0.05916,0.14358,0.15898
Logistic regression (median imputation),8,0.4286,0.09131,0.0601,0.14397,0.17579
Logistic regression (median imputation),9,0.3571,0.09372,0.05998,0.14004,0.17007
Logistic regression (median imputation),10,0.2857,0.07993,0.05823,0.13784,0.1874
Logistic regression (median imputation),11,0.2143,0.08513,0.0588,0.13685,0.18303
Logistic regression (median imputation),12,0.1429,0.07695,0.05952,0.12747,0.19984
Logistic regression (median imputation),13,0.0714,0.07053,0.05953,0.12504,0.19999
Logistic regression (median imputation),14,0.0,0.06693,0.06693,0.06693,0.20001
