modulus,share_zero_residue,raw_auc,auc_within_multiples_of_12,auc_within_non_multiples_of_12
2,0.840366,0.7125,,0.5154
3,0.802429,0.7934,,0.5888
4,0.747419,0.8109,,0.4661
5,0.332389,0.5856,0.5971,0.5063
6,0.743868,0.86,,0.5684
7,0.34897,0.6291,0.6845,0.4914
8,0.200199,0.55,0.4011,0.4862
9,0.118374,0.5069,0.4064,0.5459
10,0.303215,0.6291,0.5971,0.5199
11,0.029142,0.466,0.4992,0.5034
12,0.700691,0.8859,,
13,0.022313,0.4699,0.4996,0.4925
15,0.293227,0.6452,0.5971,0.5272
18,0.098735,0.5286,0.4064,0.5376
20,0.281188,0.6466,0.5971,0.4948
24,0.176334,0.5867,0.4011,
30,0.28466,0.6589,0.5971,0.5333
36,0.081177,0.5349,0.4064,
48,0.061335,0.5274,0.4393,
60,0.272396,0.6602,0.5971,
