approval_fy,n,round_share,default_round,default_irregular,auc
2000,37496,0.710529,0.019255,0.46241,0.8624
2001,37201,0.716862,0.020061,0.463875,0.8618
2002,44981,0.73082,0.015088,0.455401,0.8741
2003,58863,0.726738,0.017252,0.515014,0.8808
2004,70898,0.702192,0.021593,0.569054,0.8802
2005,83887,0.638609,0.031976,0.622477,0.868
2006,85858,0.575916,0.046939,0.696767,0.8632
2007,87531,0.534428,0.058937,0.725977,0.8562
2008,60839,0.581633,0.044113,0.669391,0.8584
2009,36111,0.707291,0.017227,0.465184,0.867
