model,decline_share,threshold,p_no_information,no_information_approved
Gradient boosting (native NaN),0.05,0.37876,0.06145,True
Gradient boosting (native NaN),0.1,0.31682,0.06145,True
Gradient boosting (native NaN),0.15,0.26928,0.06145,True
Gradient boosting (native NaN),0.2,0.22926,0.06145,True
Gradient boosting (native NaN),0.3,0.18445,0.06145,True
Gradient boosting (native NaN),0.4,0.16096,0.06145,True
Gradient boosting (native NaN),0.5,0.14214,0.06145,True
Logistic regression (median imputation),0.05,0.2042,0.06693,True
Logistic regression (median imputation),0.1,0.17912,0.06693,True
Logistic regression (median imputation),0.15,0.1661,0.06693,True
Logistic regression (median imputation),0.2,0.15491,0.06693,True
Logistic regression (median imputation),0.3,0.13975,0.06693,True
Logistic regression (median imputation),0.4,0.13295,0.06693,True
Logistic regression (median imputation),0.5,0.12402,0.06693,True
