protocol,model,bin,n,mean_predicted,observed_rate
random,Gradient boosting (clean),0,70832,0.0484,0.0476
random,Gradient boosting (clean),1,43795,0.1506,0.1447
random,Gradient boosting (clean),2,32099,0.244,0.2427
random,Gradient boosting (clean),3,20292,0.3482,0.3538
random,Gradient boosting (clean),4,15546,0.4458,0.4571
random,Gradient boosting (clean),5,7158,0.5411,0.5638
random,Gradient boosting (clean),6,2843,0.6469,0.6486
random,Gradient boosting (clean),7,2292,0.747,0.7692
random,Gradient boosting (clean),8,597,0.8307,0.8543
random,Gradient boosting (clean),9,21,0.9126,0.9524
random,Logistic regression (clean),0,32839,0.0792,0.0842
random,Logistic regression (clean),1,69984,0.1528,0.1416
random,Logistic regression (clean),2,60374,0.2603,0.27
random,Logistic regression (clean),3,30057,0.3249,0.3479
random,Logistic regression (clean),4,1747,0.436,0.2622
random,Logistic regression (clean),5,318,0.5384,0.1447
random,Logistic regression (clean),6,101,0.6444,0.1881
random,Logistic regression (clean),7,32,0.742,0.0938
random,Logistic regression (clean),8,9,0.8334,0.4444
random,Logistic regression (clean),9,14,0.9675,0.2143
temporal,Gradient boosting (clean),0,53548,0.0712,0.2399
temporal,Gradient boosting (clean),1,153773,0.1447,0.3457
temporal,Gradient boosting (clean),2,42208,0.2401,0.453
temporal,Gradient boosting (clean),3,17103,0.3421,0.4941
temporal,Gradient boosting (clean),4,7206,0.4426,0.5762
temporal,Gradient boosting (clean),5,1310,0.5368,0.6809
temporal,Gradient boosting (clean),6,289,0.6385,0.8062
temporal,Gradient boosting (clean),7,50,0.7375,0.64
temporal,Logistic regression (clean),0,55072,0.0763,0.4047
temporal,Logistic regression (clean),1,202611,0.1338,0.3562
temporal,Logistic regression (clean),2,17425,0.2267,0.249
temporal,Logistic regression (clean),3,283,0.3269,0.2332
temporal,Logistic regression (clean),4,32,0.4456,0.3125
temporal,Logistic regression (clean),5,34,0.5466,0.1765
temporal,Logistic regression (clean),6,4,0.6477,0.5
temporal,Logistic regression (clean),7,9,0.7365,0.3333
temporal,Logistic regression (clean),8,6,0.8535,0.1667
temporal,Logistic regression (clean),9,11,0.9682,0.3636
